lastName,name,declarationDate,job,ministry,declarationObject
ABBESSI,SONIA,25-avr.-2013,DIRECTEUR DE LA COOPERATION INTERNATIONAL,MINISTERE DE LA FEMME DE LA FAMILLE ET DE L'ENFANCE,DEUXIEME FONCTION
ABBESSI,ABDEL KRIM,9-déc.-2010,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
ABBESSI,BELKACEM,25-févr.-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABBESSI,FATHI,8-mars-2012,CHEF SERVICE,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABBOU,Mohamed Anouar,21-juil.-1987,RESPONSABLE DU CENTRE DE DOCUMENTATION,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABBOU,SAMIA,24-mars-2015,DEPUTE,ASSEMBLEE DES REPRESENTANTS DU PEUPLE,PREMIERE DECLARATION
ABBOUD,Ezzeddine,3-juil.-1987,AGENT DE CONSTATATION,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBOUDA,Hassen,9-juil.-1987,DIRECTEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABCHA,Mohamed,11-juil.-1987,PRESIDENT  DE COMMUNE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABCHA,Kamel,17-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABCHA,ALI,24-avr.-2013,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABCHAK,Mohamed,25-févr.-2012,DIRECTEUR,MINISTERE DE L'INTERIEUR,CHANGEMENT DE FONCTION 
ABCHAK,Mohamed,11-mars-1993,CHEF DE SERVICE DE L'ENSEIGNEMENT SECONDAIRE,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
ABD RABBOU,Faical,7-sept.-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
ABDA,Rejab,9-juil.-1987,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABDALLAH,Zouhaeir,6-juil.-1987,DIRECTEUR DE PRODUCTION,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABDALLAH,Abdelouaheb,13-juin-2006,MINISTRE,MINISTERE DES AFFAIRES ETRANGERES,CHANGEMENT DE FONCTION 
ABDALLAH,Abdelouaheb,17-sept.-1988,AMBASSADEUR ET EX-MINISTRE,MINISTERE DE L'INFORMATION,CHANGEMENT DE FONCTION 
ABDALLAH,Abdelouaheb,6-mai-1988,MINISTRE,MINISTERE DE L'INFORMATION,CHANGEMENT DE FONCTION 
ABDALLAH,Abdelouaheb,9-juil.-1987,PRESIDENT DIRECTEUR GENERAL,MINISTERE DE L'INFORMATION,PREMIERE DECLARATION
ABDALLAH,Salaheddine,3-août-1993,AMBASSADEUR,MINISTERE DES AFFAIRES ETRANGERES,RENOUVELLEMENT -5 ANS-
ABDALLAH,Salaheddine,9-juil.-1987,AMBASSADEUR,MINISTERE DES AFFAIRES ETRANGERES,PREMIERE DECLARATION
ABDALLAH,Nejib,9-juil.-1987,COMMISSAIRE D'ETAT,PRESIDENCE DU GOUVERNEMENT,PREMIERE DECLARATION
ABDALLAH,Hedi,13-avr.-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
ABDALLAH,Hedi,9-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
ABDALLAH,Ridha,9-juil.-1987,AMBASSADEUR,MINISTERE DES AFFAIRES ETRANGERES,PREMIERE DECLARATION
ABDALLAH,Mohsen,10-juil.-1987,DIRECTEUR GENERAL,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABDALLAH,Mohamed,25-déc.-1989,EX-DIRECTEUR,MINISTERE DES AFFAIRES SOCIALES,RETRAITE
ABDALLAH,Mohamed,31-oct.-1988,DIRECTEUR,MINISTERE DES AFFAIRES SOCIALES,CHANGEMENT DE FONCTION 
ABDALLAH,Mohamed,16-juil.-1987,DIRECTEUR,MINISTERE DES AFFAIRES SOCIALES,PREMIERE DECLARATION
ABDALLAH,Chihi,26-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
ABDALLAH,Chihi,28-oct.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
ABDALLAH,Mohamed Mounir,17-avr.-2004,PREMIER DELEGUE,MINISTERE DE L'INTERIEUR,RENOUVELLEMENT -5 ANS-
ABDALLAH,Mohamed Mounir,26-mai-1999,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABDALLAH,RIDHA,8-nov.-2010,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
ABDALLAH,IBRAHIM,18-juin-2011,DIRECTEUR,MINISTERE DU TRANSPORT ET DE L'EQUIPEMENT,PREMIERE DECLARATION
ABDALLAH,HERCHI,8-sept.-2015,DIRECTEUR,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
ABDALLAH,MOHAMED,9-nov.-2012,DIRECTEUR,MINISTERE DE LA RECHERCHE SCIENTIFIQUE DE LA TECHNOLOGIE ET DU DEVELOPPEMENT DES COMPETENCES,PREMIERE DECLARATION
ABDALLAH,ABDELMALEK,31-juil.-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABDALLAH,CHOURI,8-juil.-2015,SECRETAIRE GENERAL,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
ABDEDAYEM,Rachid,16-juil.-1987,AGENT TECHNIQUE,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABDEDDAYEB,Riadh,9-juil.-1987,CONTROLEUR DES AFFAIRES ECONOMIQUES,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABDEHAK,Abdelhamid,22-mai-1987,INCONNUE,INCONNU,PREMIERE DECLARATION
ABDEJELIL,Jaber,9-juil.-1987,DIRECTEUR DE L'INFORMATIQUE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABDEJLIL,Hamida,14-oct.-1999,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEURE,PREMIERE DECLARATION
ABDEKEFI,Mohamed,9-mars-1993,COMPTABLE PUBLIC,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
